state,year,week,week_cases,m_accum,f_accum,cases_accum
Aguascalientes,2013,2,0,0,0,0
Baja California,2013,2,0,0,0,3
Baja California Sur,2013,2,0,0,0,0
Campeche,2013,2,0,0,0,0
Coahuila,2013,2,0,0,0,1
Colima,2013,2,0,0,0,0
Chiapas,2013,2,0,0,0,0
Chihuahua,2013,2,0,0,0,0
Distrito Federal,2013,2,0,0,0,0
Durango,2013,2,0,0,0,0
Guanajuato,2013,2,0,0,0,0
Guerrero,2013,2,0,0,0,0
Hidalgo,2013,2,0,0,0,0
Jalisco,2013,2,0,0,0,0
México,2013,2,0,0,0,1
Michoacán,2013,2,0,0,0,0
Morelos,2013,2,0,0,0,0
Nayarit,2013,2,0,0,0,0
Nuevo León,2013,2,0,0,0,0
Oaxaca,2013,2,0,0,0,0
Puebla,2013,2,0,0,0,0
Querétaro,2013,2,0,0,0,0
Quintana Roo,2013,2,0,0,0,0
San Luis Potosí,2013,2,0,0,0,0
Sinaloa,2013,2,0,0,0,0
Sonora,2013,2,0,0,0,0
Tabasco,2013,2,0,0,0,0
Tamaulipas,2013,2,0,0,0,0
Tlaxcala,2013,2,0,0,0,0
Veracruz,2013,2,0,0,0,0
Yucatán,2013,2,0,0,0,0
Zacatecas,2013,2,0,0,0,0
Aguascalientes,2013,3,0,0,0,0
Baja California,2013,3,0,0,0,13
Baja California Sur,2013,3,0,0,0,2
Campeche,2013,3,0,0,0,0
Coahuila,2013,3,0,0,0,2
Colima,2013,3,0,0,0,0
Chiapas,2013,3,0,0,0,0
Chihuahua,2013,3,0,0,0,0
Distrito Federal,2013,3,0,0,0,0
Durango,2013,3,0,0,0,0
Guanajuato,2013,3,0,0,0,1
Guerrero,2013,3,0,0,0,0
Hidalgo,2013,3,0,0,0,0
Jalisco,2013,3,0,0,0,0
México,2013,3,0,0,0,1
Michoacán,2013,3,0,0,0,0
Morelos,2013,3,0,0,0,0
Nayarit,2013,3,0,0,0,0
Nuevo León,2013,3,0,0,0,0
Oaxaca,2013,3,0,0,0,0
Puebla,2013,3,0,0,0,0
Querétaro,2013,3,0,0,0,0
Quintana Roo,2013,3,0,0,0,0
San Luis Potosí,2013,3,0,0,0,0
Sinaloa,2013,3,0,0,0,0
Sonora,2013,3,0,0,0,0
Tabasco,2013,3,0,0,0,0
Tamaulipas,2013,3,0,0,0,0
Tlaxcala,2013,3,0,0,0,0
Veracruz,2013,3,0,0,0,0
Yucatán,2013,3,0,0,0,0
Zacatecas,2013,3,0,0,0,0
Aguascalientes,2013,4,0,0,0,0
Baja California,2013,4,0,0,0,24
Baja California Sur,2013,4,0,0,0,3
Campeche,2013,4,0,0,0,0
Coahuila,2013,4,0,0,0,2
Colima,2013,4,0,0,0,0
