estado,sem,m_acum,f_acum,2015_acum,no_sem,anio
Aguascalientes,0,0,0,0,1,2016
Baja California,0,0,0,0,1,2016
Baja California Sur,0,0,0,0,1,2016
Campeche,0,0,0,0,1,2016
Coahuila,0,0,0,0,1,2016
Colima,0,0,0,0,1,2016
Chiapas,0,0,0,0,1,2016
Chihuahua,0,0,0,0,1,2016
Ciudad de México,0,0,0,0,1,2016
Durango,0,0,0,0,1,2016
Guanajuato,0,0,0,0,1,2016
Guerrero,0,0,0,0,1,2016
Hidalgo,0,0,0,0,1,2016
Jalisco,0,0,0,0,1,2016
México,0,0,0,0,1,2016
Michoacán,0,0,0,0,1,2016
Morelos,0,0,0,0,1,2016
Nayarit,0,0,0,0,1,2016
Nuevo León,0,0,0,0,1,2016
Oaxaca,0,0,0,0,1,2016
Puebla,0,0,0,0,1,2016
Querétaro,0,0,0,0,1,2016
Quintana Roo,0,0,0,0,1,2016
San Luis Potosí,0,0,0,0,1,2016
Sinaloa,0,0,0,0,1,2016
Sonora,0,0,0,0,1,2016
Tabasco,0,0,0,0,1,2016
Tamaulipas,0,0,0,0,1,2016
Tlaxcala,0,0,0,0,1,2016
Veracruz,0,0,0,0,1,2016
Yucatán,0,0,0,0,1,2016
Zacatecas,0,0,0,0,1,2016
TOTAL,0,0,0,0,1,2016
Aguascalientes,0,0,0,0,2,2016
Baja California,0,0,0,0,2,2016
Baja California Sur,0,0,0,0,2,2016
Campeche,0,0,0,0,2,2016
Coahuila,0,0,0,0,2,2016
Colima,0,0,0,0,2,2016
Chiapas,0,0,0,0,2,2016
Chihuahua,0,0,0,0,2,2016
Ciudad de México,0,0,0,0,2,2016
Durango,0,0,0,0,2,2016
Guanajuato,0,0,0,0,2,2016
Guerrero,0,0,0,0,2,2016
Hidalgo,0,0,0,0,2,2016
Jalisco,0,0,0,0,2,2016
México,0,0,0,0,2,2016
Michoacán,0,0,0,0,2,2016
Morelos,0,0,0,0,2,2016
Nayarit,0,0,0,0,2,2016
Nuevo León,0,0,0,0,2,2016
Oaxaca,0,0,0,0,2,2016
Puebla,0,0,0,0,2,2016
Querétaro,0,0,0,0,2,2016
Quintana Roo,0,0,0,0,2,2016
San Luis Potosí,0,0,0,0,2,2016
Sinaloa,0,0,0,0,2,2016
Sonora,0,0,0,0,2,2016
Tabasco,0,0,0,0,2,2016
Tamaulipas,0,0,0,0,2,2016
Tlaxcala,0,0,0,0,2,2016
Veracruz,0,0,0,0,2,2016
Yucatán,0,0,0,0,2,2016
Zacatecas,0,0,0,0,2,2016
TOTAL,0,0,0,0,2,2016
Aguascalientes,0,0,0,0,3,2016
Baja California,0,0,0,0,3,2016
Baja California Sur,0,0,0,0,3,2016
Campeche,0,0,0,0,3,2016
Coahuila,0,0,0,0,3,2016
Colima,0,0,0,0,3,2016
Chiapas,0,0,0,0,3,2016
Chihuahua,0,0,0,0,3,2016
Ciudad de México,0,0,0,0,3,2016
Durango,0,0,0,0,3,2016
Guanajuato,0,0,0,0,3,2016
Guerrero,0,0,0,0,3,2016
Hidalgo,0,0,0,0,3,2016
Jalisco,0,0,0,0,3,2016
México,0,0,0,0,3,2016
Michoacán,0,0,0,0,3,2016
Morelos,0,0,0,0,3,2016
Nayarit,0,0,0,0,3,2016
Nuevo León,0,0,0,0,3,2016
Oaxaca,0,0,0,0,3,2016
Puebla,0,0,0,0,3,2016
Querétaro,0,0,0,0,3,2016
Quintana Roo,0,0,0,0,3,2016
San Luis Potosí,0,0,0,0,3,2016
Sinaloa,0,0,0,0,3,2016
Sonora,0,0,0,0,3,2016
Tabasco,0,0,0,0,3,2016
Tamaulipas,0,0,0,0,3,2016
Tlaxcala,0,0,0,0,3,2016
Veracruz,0,0,0,0,3,2016
Yucatán,0,0,0,0,3,2016
Zacatecas,0,0,0,0,3,2016
TOTAL,0,0,0,0,3,2016
Aguascalientes,0,0,0,0,4,2016
Baja California,0,0,0,0,4,2016
Baja California Sur,0,0,0,0,4,2016
Campeche,0,0,0,0,4,2016
Coahuila,0,0,0,0,4,2016
Colima,0,0,0,0,4,2016
Chiapas,0,0,0,0,4,2016
Chihuahua,0,0,0,0,4,2016
Ciudad de México,0,0,0,0,4,2016
Durango,0,0,0,0,4,2016
Guanajuato,0,0,0,0,4,2016
Guerrero,0,0,0,0,4,2016
Hidalgo,0,0,0,0,4,2016
Jalisco,0,0,0,0,4,2016
México,0,0,0,0,4,2016
Michoacán,0,0,0,0,4,2016
Morelos,0,0,0,0,4,2016
Nayarit,0,0,0,0,4,2016
Nuevo León,0,0,0,0,4,2016
Oaxaca,0,0,0,0,4,2016
Puebla,0,0,0,0,4,2016
Querétaro,0,0,0,0,4,2016
Quintana Roo,0,0,0,0,4,2016
San Luis Potosí,0,0,0,0,4,2016
Sinaloa,0,0,0,0,4,2016
Sonora,0,0,0,0,4,2016
Tabasco,0,0,0,0,4,2016
Tamaulipas,0,0,0,0,4,2016
Tlaxcala,0,0,0,0,4,2016
Veracruz,1,1,0,0,4,2016
Yucatán,0,0,0,0,4,2016
Zacatecas,0,0,0,0,4,2016
TOTAL,1,1,0,0,4,2016
Aguascalientes,0,0,0,0,5,2016
Baja California,0,0,0,0,5,2016
Baja California Sur,0,0,0,0,5,2016
Campeche,0,0,0,0,5,2016
Coahuila,0,0,0,0,5,2016
Colima,0,0,0,0,5,2016
Chiapas,0,0,0,0,5,2016
Chihuahua,0,0,0,0,5,2016
Ciudad de México,0,0,0,0,5,2016
Durango,0,0,0,0,5,2016
Guanajuato,0,0,0,0,5,2016
Guerrero,0,0,0,0,5,2016
Hidalgo,0,0,0,0,5,2016
Jalisco,0,0,0,0,5,2016
México,0,0,0,0,5,2016
Michoacán,0,0,0,0,5,2016
Morelos,0,0,0,0,5,2016
Nayarit,0,0,0,0,5,2016
Nuevo León,0,0,0,0,5,2016
Oaxaca,0,0,0,0,5,2016
Puebla,0,0,0,0,5,2016
Querétaro,0,0,0,0,5,2016
Quintana Roo,0,0,0,0,5,2016
San Luis Potosí,0,0,0,0,5,2016
Sinaloa,0,0,0,0,5,2016
Sonora,0,0,0,0,5,2016
Tabasco,0,0,0,0,5,2016
Tamaulipas,0,0,0,0,5,2016
Tlaxcala,0,0,0,0,5,2016
Veracruz,0,1,0,0,5,2016
Yucatán,0,0,0,0,5,2016
Zacatecas,0,0,0,0,5,2016
TOTAL,0,1,0,0,5,2016
Aguascalientes,0,0,0,0,6,2016
Baja California,0,0,0,0,6,2016
Baja California Sur,0,0,0,0,6,2016
Campeche,0,0,0,0,6,2016
Coahuila,0,0,0,0,6,2016
Colima,0,0,0,0,6,2016
Chiapas,0,0,0,0,6,2016
Chihuahua,0,0,0,0,6,2016
Ciudad de México,0,0,0,0,6,2016
Durango,0,0,0,0,6,2016
Guanajuato,0,0,0,0,6,2016
Guerrero,0,0,0,0,6,2016
Hidalgo,0,0,0,0,6,2016
Jalisco,0,0,0,0,6,2016
México,0,0,0,0,6,2016
Michoacán,0,0,0,0,6,2016
Morelos,0,0,0,0,6,2016
Nayarit,0,0,0,0,6,2016
Nuevo León,1,0,1,0,6,2016
Oaxaca,0,0,0,0,6,2016
Puebla,0,0,0,0,6,2016
Querétaro,0,0,0,0,6,2016
Quintana Roo,0,0,0,0,6,2016
San Luis Potosí,0,0,0,0,6,2016
Sinaloa,0,0,0,0,6,2016
Sonora,0,0,0,0,6,2016
Tabasco,0,0,0,0,6,2016
Tamaulipas,0,0,0,0,6,2016
Tlaxcala,0,0,0,0,6,2016
Veracruz,0,1,0,0,6,2016
Yucatán,0,0,0,0,6,2016
Zacatecas,0,0,0,0,6,2016
TOTAL,1,1,1,0,6,2016
Aguascalientes,0,0,0,0,7,2016
Baja California,1,0,1,0,7,2016
Baja California Sur,0,0,0,0,7,2016
Campeche,0,0,0,0,7,2016
Coahuila,0,0,0,0,7,2016
Colima,0,0,0,0,7,2016
Chiapas,0,0,0,0,7,2016
Chihuahua,0,0,0,0,7,2016
Ciudad de México,0,0,0,0,7,2016
Durango,0,0,0,0,7,2016
Guanajuato,0,0,0,0,7,2016
Guerrero,0,0,0,0,7,2016
Hidalgo,0,0,0,0,7,2016
Jalisco,0,0,0,0,7,2016
México,0,0,0,0,7,2016
Michoacán,0,0,0,0,7,2016
Morelos,0,0,0,0,7,2016
Nayarit,0,0,0,0,7,2016
Nuevo León,0,0,1,0,7,2016
Oaxaca,0,0,0,0,7,2016
Puebla,0,0,0,0,7,2016
Querétaro,0,0,0,0,7,2016
Quintana Roo,0,0,0,0,7,2016
San Luis Potosí,0,0,0,0,7,2016
Sinaloa,0,0,0,0,7,2016
Sonora,0,0,0,0,7,2016
Tabasco,0,0,0,0,7,2016
Tamaulipas,0,0,0,0,7,2016
Tlaxcala,0,0,0,0,7,2016
Veracruz,0,1,0,0,7,2016
Yucatán,0,0,0,0,7,2016
Zacatecas,0,0,0,0,7,2016
TOTAL,1,1,2,0,7,2016
Aguascalientes,0,0,0,0,8,2016
Baja California,0,0,1,0,8,2016
Baja California Sur,0,0,0,0,8,2016
Campeche,0,0,0,0,8,2016
Coahuila,0,0,0,0,8,2016
Colima,0,0,0,0,8,2016
Chiapas,0,0,0,0,8,2016
Chihuahua,0,0,0,0,8,2016
Ciudad de México,0,0,0,0,8,2016
Durango,0,0,0,0,8,2016
Guanajuato,0,0,0,0,8,2016
Guerrero,0,0,0,0,8,2016
Hidalgo,0,0,0,0,8,2016
Jalisco,0,0,0,0,8,2016
México,0,0,0,0,8,2016
Michoacán,0,0,0,0,8,2016
Morelos,0,0,0,0,8,2016
Nayarit,0,0,0,0,8,2016
Nuevo León,0,0,1,0,8,2016
Oaxaca,0,0,0,0,8,2016
Puebla,0,0,0,0,8,2016
Querétaro,0,0,0,0,8,2016
Quintana Roo,0,0,0,0,8,2016
San Luis Potosí,0,0,0,0,8,2016
Sinaloa,0,0,0,0,8,2016
Sonora,0,0,0,0,8,2016
Tabasco,0,0,0,0,8,2016
Tamaulipas,0,0,0,0,8,2016
Tlaxcala,0,0,0,0,8,2016
Veracruz,0,1,0,0,8,2016
Yucatán,0,0,0,0,8,2016
Zacatecas,0,0,0,0,8,2016
TOTAL,0,1,2,0,8,2016
Aguascalientes,0,0,0,0,9,2016
Baja California,0,0,1,0,9,2016
Baja California Sur,0,0,0,0,9,2016
Campeche,0,0,0,0,9,2016
Coahuila,0,0,0,0,9,2016
Colima,0,0,0,0,9,2016
Chiapas,0,0,0,0,9,2016
Chihuahua,0,0,0,0,9,2016
Ciudad de México,0,0,0,0,9,2016
Durango,0,0,0,0,9,2016
Guanajuato,0,0,0,0,9,2016
Guerrero,0,0,0,0,9,2016
Hidalgo,0,0,0,0,9,2016
Jalisco,0,0,0,0,9,2016
México,0,0,0,0,9,2016
Michoacán,0,0,0,0,9,2016
Morelos,0,0,0,0,9,2016
Nayarit,0,0,0,0,9,2016
Nuevo León,0,0,1,0,9,2016
Oaxaca,0,0,0,0,9,2016
Puebla,0,0,0,0,9,2016
Querétaro,0,0,0,0,9,2016
Quintana Roo,0,0,0,0,9,2016
San Luis Potosí,0,0,0,0,9,2016
Sinaloa,0,0,0,0,9,2016
Sonora,1,1,0,0,9,2016
Tabasco,0,0,0,0,9,2016
Tamaulipas,0,0,0,0,9,2016
Tlaxcala,0,0,0,0,9,2016
Veracruz,0,1,0,0,9,2016
Yucatán,0,0,0,0,9,2016
Zacatecas,0,0,0,0,9,2016
TOTAL,1,2,2,0,9,2016
