state,year,week,cases_accum
Aguascalientes,2013,2,
Baja California,2013,2,3.0
Baja California Sur,2013,2,
Campeche,2013,2,
Coahuila,2013,2,1.0
Colima,2013,2,
Chiapas,2013,2,
Chihuahua,2013,2,
Distrito Federal,2013,2,
Durango,2013,2,
Guanajuato,2013,2,
Guerrero,2013,2,
Hidalgo,2013,2,
Jalisco,2013,2,
México,2013,2,1.0
Michoacán,2013,2,
Morelos,2013,2,
Nayarit,2013,2,
Nuevo León,2013,2,
Oaxaca,2013,2,
Puebla,2013,2,
Querétaro,2013,2,
Quintana Roo,2013,2,
San Luis Potosí,2013,2,
Sinaloa,2013,2,
Sonora,2013,2,
Tabasco,2013,2,
Tamaulipas,2013,2,
Tlaxcala,2013,2,
Veracruz,2013,2,
Yucatán,2013,2,
Zacatecas,2013,2,
Aguascalientes,2013,3,
Baja California,2013,3,13.0
Baja California Sur,2013,3,2.0
Campeche,2013,3,
Coahuila,2013,3,2.0
Colima,2013,3,
Chiapas,2013,3,
Chihuahua,2013,3,
Distrito Federal,2013,3,
Durango,2013,3,
Guanajuato,2013,3,1.0
Guerrero,2013,3,
Hidalgo,2013,3,
Jalisco,2013,3,
México,2013,3,1.0
Michoacán,2013,3,
Morelos,2013,3,
Nayarit,2013,3,
Nuevo León,2013,3,
Oaxaca,2013,3,
Puebla,2013,3,
Querétaro,2013,3,
Quintana Roo,2013,3,
San Luis Potosí,2013,3,
Sinaloa,2013,3,
Sonora,2013,3,
Tabasco,2013,3,
Tamaulipas,2013,3,
Tlaxcala,2013,3,
Veracruz,2013,3,
Yucatán,2013,3,
Zacatecas,2013,3,
Aguascalientes,2013,4,
Baja California,2013,4,24.0
Baja California Sur,2013,4,3.0
Campeche,2013,4,
Coahuila,2013,4,2.0
Colima,2013,4,
Chiapas,2013,4,
Chihuahua,2013,4,
Distrito Federal,2013,4,
Durango,2013,4,
Guanajuato,2013,4,1.0
Guerrero,2013,4,
Hidalgo,2013,4,
Jalisco,2013,4,
México,2013,4,1.0
Michoacán,2013,4,
Morelos,2013,4,
Nayarit,2013,4,
Nuevo León,2013,4,1.0
Oaxaca,2013,4,
Puebla,2013,4,
Querétaro,2013,4,
Quintana Roo,2013,4,
San Luis Potosí,2013,4,
Sinaloa,2013,4,
Sonora,2013,4,
Tabasco,2013,4,
Tamaulipas,2013,4,
Tlaxcala,2013,4,
Veracruz,2013,4,
Yucatán,2013,4,
Zacatecas,2013,4,
Aguascalientes,2013,5,
Baja California,2013,5,31.0
Baja California Sur,2013,5,6.0
Campeche,2013,5,
Coahuila,2013,5,3.0
Colima,2013,5,
Chiapas,2013,5,
Chihuahua,2013,5,1.0
Distrito Federal,2013,5,
Durango,2013,5,
Guanajuato,2013,5,2.0
Guerrero,2013,5,
Hidalgo,2013,5,
Jalisco,2013,5,
México,2013,5,1.0
Michoacán,2013,5,5.0
Morelos,2013,5,
Nayarit,2013,5,
Nuevo León,2013,5,1.0
Oaxaca,2013,5,
Puebla,2013,5,
Querétaro,2013,5,
Quintana Roo,2013,5,
San Luis Potosí,2013,5,
Sinaloa,2013,5,2.0
Sonora,2013,5,
Tabasco,2013,5,
Tamaulipas,2013,5,
Tlaxcala,2013,5,
Veracruz,2013,5,
Yucatán,2013,5,
Zacatecas,2013,5,1.0
Aguascalientes,2013,6,
Baja California,2013,6,43.0
Baja California Sur,2013,6,10.0
Campeche,2013,6,
Coahuila,2013,6,10.0
Colima,2013,6,
Chiapas,2013,6,
Chihuahua,2013,6,1.0
Distrito Federal,2013,6,
Durango,2013,6,
Guanajuato,2013,6,2.0
Guerrero,2013,6,
Hidalgo,2013,6,
Jalisco,2013,6,
México,2013,6,1.0
Michoacán,2013,6,8.0
Morelos,2013,6,
Nayarit,2013,6,
Nuevo León,2013,6,4.0
Oaxaca,2013,6,
Puebla,2013,6,
Querétaro,2013,6,
Quintana Roo,2013,6,
San Luis Potosí,2013,6,
Sinaloa,2013,6,2.0
Sonora,2013,6,2.0
Tabasco,2013,6,
Tamaulipas,2013,6,
Tlaxcala,2013,6,
Veracruz,2013,6,
Yucatán,2013,6,
Zacatecas,2013,6,1.0
Aguascalientes,2013,7,
Baja California,2013,7,55.0
Baja California Sur,2013,7,10.0
Campeche,2013,7,
Coahuila,2013,7,14.0
Colima,2013,7,
Chiapas,2013,7,
Chihuahua,2013,7,1.0
Distrito Federal,2013,7,
Durango,2013,7,
Guanajuato,2013,7,2.0
Guerrero,2013,7,
